TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,MC,PANAL,PVEM,PES,M,PT,CQ,QI,MORENA_PT_PES,MORENA_PT,MORENA_PES,PT_PES,PRI_PVEM,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO
317,93,36,12,3,0,9,0,91,5,12,16,0,1,0,6,0,,Sin dato,,,Sin dato,26,Sin dato
317,76,48,12,7,6,9,3,106,5,8,17,3,1,2,0,0,,0,,,0,14,317
338,80,65,8,7,10,20,6,85,12,8,9,1,1,0,0,3,,2,,,0,21,338
321,76,45,9,12,13,13,1,107,7,9,7,2,1,3,0,4,,0,,,0,12,321
Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,,Ilegible,,,Ilegible,Ilegible,Ilegible
352,118,46,6,18,2,6,6,106,8,6,25,2,1,1,0,1,,4,,,0,17,391
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
393,104,48,13,13,6,11,6,133,10,10,13,Sin dato,Sin dato,2,Sin dato,1,,1,,,Sin dato,22,393
472,289,29,5,7,7,3,7,70,2,1,19,0,0,0,0,1,,Ilegible,,,0,20,472
430,266,24,4,11,6,5,3,63,3,5,15,0,1,0,0,1,,7,,,0,16,430
476,288,35,9,6,5,2,6,70,4,2,23,1,1,0,0,1,,2,,,0,21,476
463,262,31,10,12,6,8,6,82,4,12,12,2,1,0,0,0,,9,,,0,17,463
560,394,37,2,12,5,7,1,60,2,2,14,2,0,0,0,3,,4,,,0,15,560
553,360,46,4,13,6,5,6,58,1,2,21,2,0,0,0,2,,4,,,Sin dato,19,549
391,223,32,3,8,6,4,2,66,4,3,17,0,0,0,0,2,,3,,,0,18,391
373,251,13,2,11,5,5,1,52,0,2,17,0,0,0,0,0,,0,,,0,14,373
373,213,29,6,10,5,6,1,62,4,2,18,1,0,0,0,0,,4,,,0,12,373
Sin dato,85,43,10,6,1,15,3,108,5,5,13,5,5,1,0,4,,0,,,1,12,322
317,93,45,8,4,7,14,5,78,10,13,14,0,0,0,0,2,,1,,,Sin dato,23,317
352,95,53,7,14,8,12,1,91,3,8,10,3,0,1,0,2,,10,,,0,14,332
319,103,32,7,5,3,10,4,94,8,5,12,2,1,0,5,0,,3,,,0,25,319
357,110,43,12,10,7,8,5,83,7,6,23,5,0,1,0,1,,2,,,0,32,357
Sin dato,214,36,8,12,9,5,3,109,5,4,22,1,0,1,0,2,,3,,,1,18,453
,,,,,,,,,,,,,,,,,,,,,,,
410,277,32,4,4,6,4,3,58,2,0,5,0,0,0,0,0,,4,,,1,10,410
,,,,,,,,,,,,,,,,,,,,,,,
406,211,40,7,7,6,8,7,70,3,6,19,4,2,1,0,1,,3,,,0,11,406
424,233,44,6,11,7,8,8,54,3,5,12,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,,Ilegible,,,Ilegible,16,407
575,362,35,8,4,6,8,5,87,1,8,22,4,0,2,0,1,,5,,,0,17,575
550,339,33,10,10,9,9,6,89,3,5,17,2,0,2,0,0,,6,,,1,12,553
548,350,24,7,8,9,3,6,85,5,6,19,0,0,0,0,0,,8,,,0,21,551
566,341,37,12,9,7,12,5,77,2,11,28,4,0,0,0,0,,6,,,2,13,566
563,345,23,15,8,10,8,6,Ilegible,1,10,16,0,0,0,0,0,,6,,,0,25,561
564,326,44,18,13,8,3,5,98,1,8,20,1,Sin dato,Sin dato,Sin dato,Sin dato,,6,,,Sin dato,Sin dato,564
553,348,24,2,15,10,5,12,86,1,7,19,3,0,1,0,0,,7,,,0,13,553
557,360,33,4,9,11,6,11,66,2,7,20,2,1,2,1,0,,7,,,1,14,557
450,223,82,7,3,5,6,8,72,3,3,21,0,0,0,0,0,,5,,,0,12,450
Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,Sin dato,,,Sin dato,Sin dato,Sin dato
424,226,40,7,10,1,11,9,69,1,0,23,6,0,0,0,0,,4,,,0,16,423
0,208,38,13,16,11,10,2,113,6,3,20,4,1,0,0,3,,5,,,1,12,466
441,175,66,10,19,17,11,9,95,5,4,11,0,0,1,0,1,,4,,,0,13,441
447,160,40,11,8,17,4,15,127,7,5,23,3,1,3,0,0,,1,,,2,21,447
362,117,66,7,13,11,8,3,76,6,15,12,1,0,1,0,3,,3,,,2,18,362
371,119,63,9,9,5,18,6,97,7,9,20,0,0,0,0,1,,1,,,0,7,371
387,126,58,10,19,8,13,5,90,3,9,21,3,0,2,0,0,,6,,,0,14,387
428,237,37,13,8,12,6,4,67,1,4,14,Sin dato,2,Sin dato,1,4,,5,,,5,13,Sin dato
404,213,40,10,5,7,5,3,70,4,6,15,4,1,2,0,2,,5,,,1,11,404
488,248,46,10,7,13,9,4,97,5,2,14,1,0,0,0,1,,7,,,0,24,488
502,245,52,13,16,11,8,4,94,4,4,15,0,0,0,0,0,,2,,,2,34,504
395,159,41,11,4,10,6,6,98,3,7,26,1,1,1,0,1,,3,,,0,18,396
395,168,40,11,12,10,4,4,92,7,6,21,2,2,0,0,1,,3,,,1,11,395
355,123,46,8,4,8,17,11,78,9,5,22,4,0,0,0,0,,4,,,0,16,355
,,,,,,,,,,,,,,,,,,,,,,,
467,168,34,3,10,13,9,5,142,8,5,36,4,0,2,0,3,,10,,,0,15,467
436,169,42,14,6,8,13,4,120,3,3,22,6,1,1,0,2,,7,,,1,14,436
404,125,34,9,16,9,11,6,119,6,5,21,6,2,1,0,1,,7,,,1,25,404
403,159,40,98,11,16,13,2,90,3,4,20,5,0,2,0,2,,3,,,1,24,403
428,159,54,16,8,19,12,1,92,5,4,17,3,0,1,1,2,,3,,,3,28,428
442,267,37,3,8,12,6,4,62,2,4,12,1,2,0,0,2,,3,,,2,15,442
466,255,37,11,2,10,9,0,79,4,6,22,3,0,0,0,2,,6,,,0,20,466
458,192,41,14,8,10,13,6,105,5,7,23,8,0,0,1,1,,5,,,2,17,458
371,132,46,7,7,9,7,5,105,5,4,21,5,0,0,0,0,,2,,,1,15,371
331,127,48,2,10,6,2,4,89,3,9,12,2,1,2,0,0,,1,,,2,11,331
450,169,55,9,17,14,13,9,114,2,8,18,1,1,0,0,1,,5,,,0,19,455
316,159,29,1,7,10,7,4,55,5,5,10,1,1,1,0,0,,4,,,1,16,316
333,172,47,2,5,7,8,6,53,2,3,10,2,1,0,0,1,,2,,,4,7,332
378,217,36,6,7,6,4,4,59,3,4,15,0,0,0,0,0,,2,,,0,16,380
352,192,39,1,11,4,6,1,55,3,2,7,2,Sin dato,1,Sin dato,1,,8,,,1,18,352
Sin dato,224,39,8,1,5,12,4,57,2,4,10,4,0,0,0,0,,4,,,0,17,390
435,250,37,5,10,8,7,3,57,3,1,21,1,0,1,0,1,,3,,,1,26,435
420,188,51,4,8,6,5,7,106,3,3,12,3,1,1,0,1,,2,,,0,19,420
423,176,59,2,6,9,12,13,100,4,5,14,5,0,0,0,0,,3,,,0,18,426
371,180,47,3,3,6,5,1,66,3,7,18,2,0,1,0,0,,4,,,1,24,371
349,178,27,4,6,14,3,0,65,4,3,17,3,1,0,0,0,,5,,,2,17,349
519,282,45,6,14,9,6,4,94,2,7,21,1,1,1,0,0,,6,,,0,21,519
527,299,40,4,16,10,7,3,83,4,5,20,3,0,0,0,1,,9,,,0,23,527
540,316,23,7,17,16,5,5,85,5,6,22,2,1,1,0,2,,6,,,0,21,540
538,301,39,10,14,7,6,5,90,5,4,17,4,0,0,0,1,,10,,,0,25,538
520,285,51,2,11,10,10,6,92,9,4,21,0,0,1,0,2,,5,,,0,11,520
510,283,46,7,18,5,11,2,85,7,6,17,4,1,0,2,0,,2,,,1,13,510
542,316,24,6,18,11,5,3,93,7,2,23,5,1,1,Sin dato,1,,5,,,1,19,541
332,93,25,7,8,5,9,5,116,8,7,12,3,1,0,0,1,,4,,,Sin dato,Sin dato,332
319,103,32,9,12,5,9,3,103,5,15,19,2,1,0,0,0,,1,,,0,14,319
348,118,36,7,10,9,6,5,84,7,6,31,2,0,1,0,0,,1,,,0,25,348
366,107,28,9,4,7,24,5,122,1,8,19,6,1,1,0,0,,0,,,0,24,366
362,126,42,5,11,8,8,7,102,8,6,20,3,0,0,0,0,,3,,,1,12,362
353,124,30,8,10,10,8,6,98,13,6,20,4,1,1,0,0,,0,,,0,14,353
339,103,43,8,12,5,5,7,88,4,11,19,4,0,4,4,0,,6,,,Sin dato,18,339
,,,,,,,,,,,,,,,,,,,,,,,
Sin dato,72,27,9,15,10,7,3,94,8,6,7,1,1,1,0,1,,3,,,1,17,283
310,89,34,8,11,6,8,4,72,6,18,17,6,2,2,0,2,,2,,,0,23,310
273,76,42,7,6,13,11,7,64,4,10,10,7,1,2,0,0,,3,,,1,9,273
Sin dato,81,31,4,1,8,2,4,76,3,11,8,Sin dato,1,2,Sin dato,2,,2,,,Sin dato,9,244
257,67,32,6,5,2,5,8,105,6,3,8,4,0,0,0,2,,1,,,2,6,257
268,97,29,5,10,6,3,6,70,8,7,11,1,0,1,0,3,,5,,,1,6,269
7,80,45,7,8,4,10,3,60,4,14,15,2,0,2,0,0,,4,,,0,10,268
314,105,33,8,8,4,4,8,88,4,13,12,4,1,4,0,2,,3,,,0,13,314
365,127,26,8,6,7,5,4,134,3,7,18,8,0,0,1,0,,1,,,0,10,365
362,130,23,7,9,7,7,6,113,4,4,22,3,0,2,0,2,,0,,,0,15,362
,,,,,,,,,,,,,,,,,,,,,,,
393,156,20,6,11,5,9,11,125,2,11,16,1,0,0,1,2,,1,,,1,15,393
336,154,25,3,10,11,6,4,80,7,1,12,0,0,2,3,1,,6,,,0,11,336
Sin dato,147,21,7,13,10,9,4,86,2,4,26,1,0,0,0,0,,1,,,0,13,344
389,158,20,13,12,2,5,10,124,4,4,16,1,1,0,0,1,,2,,,2,14,389
366,135,26,7,6,9,9,2,113,5,12,24,0,2,1,1,1,,2,,,0,11,366
411,164,17,9,10,15,7,7,130,6,4,20,5,0,0,0,0,,3,,,0,14,411
Sin dato,148,27,5,12,11,10,5,115,3,5,23,1,0,0,0,1,,1,,,1,18,386
0,115,27,5,20,10,9,6,124,7,6,18,6,0,1,0,0,,2,,,0,16,372
407,159,31,9,5,4,7,12,107,10,5,28,0,4,1,0,1,,9,,,1,10,407
422,160,32,4,9,13,9,7,125,8,23,6,5,0,0,0,1,,6,,,1,13,422
378,135,41,11,11,14,6,7,101,3,9,21,1,1,0,0,0,,4,,,0,13,378
386,145,30,9,5,6,7,6,109,9,9,25,3,1,1,0,0,,3,,,1,17,Sin dato
,,,,,,,,,,,,,,,,,,,,,,,
293,86,22,11,1,4,5,6,101,9,9,14,4,0,1,Sin dato,Sin dato,,1,,,0,16,293
524,75,25,9,6,9,7,8,74,6,10,18,2,0,0,0,1,,2,,,0,15,Sin dato
,,,,,,,,,,,,,,,,,,,,,,,
Sin dato,141,24,14,8,8,11,13,143,6,12,15,9,1,2,0,0,,4,,,0,13,425
252,81,11,1,8,4,4,6,94,2,3,17,0,2,0,6,0,,0,,,0,13,252
241,68,11,5,6,10,1,6,91,5,9,12,6,Sin dato,1,Sin dato,Sin dato,,Sin dato,,,Sin dato,9,241
450,138,42,14,14,14,6,5,164,7,5,12,5,0,1,0,0,,5,,,0,19,451
303,114,13,7,4,6,4,11,106,6,4,17,2,0,0,0,0,,2,,,1,10,308
Sin dato,118,15,6,9,6,7,3,103,1,4,19,6,0,0,0,0,,2,,,1,18,318
333,132,26,1,5,7,6,6,100,3,6,22,2,1,0,0,1,,5,,,0,10,333
393,143,24,5,14,9,7,3,136,8,5,19,0,0,2,0,0,,3,,,1,14,393
382,109,33,11,9,5,11,10,131,11,6,19,10,0,1,0,0,,2,,,0,14,382
Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,,Ilegible,,,Ilegible,Ilegible,Ilegible
,,,,,,,,,,,,,,,,,,,,,,,
301,89,26,11,4,9,8,5,95,6,6,25,3,0,1,0,0,,2,,,1,10,301
482,172,31,9,17,7,5,8,169,8,6,25,6,1,1,0,0,,3,,,0,13,482
445,145,29,3,11,6,11,10,154,7,7,34,3,1,3,0,2,,3,,,0,16,445
477,179,34,7,9,18,5,9,154,7,9,25,2,2,0,0,0,,5,,,0,12,477
0,47,27,11,8,12,6,7,97,9,5,7,5,1,2,0,1,,2,,,0,11,258
Sin dato,55,33,10,4,10,13,5,100,9,3,11,5,0,1,0,2,,2,,,1,12,276
433,169,26,9,11,10,5,9,136,12,6,24,5,0,0,0,0,,2,,,0,9,433
406,171,29,6,5,8,9,4,121,5,4,23,5,0,0,0,1,,4,,,2,9,406
,,,,,,,,,,,,,,,,,,,,,,,
Sin dato,170,33,6,6,10,11,5,121,6,3,23,7,0,0,0,1,,3,,,Sin dato,11,416
329,112,21,7,17,9,13,9,93,2,9,15,2,2,2,1,1,,4,,,1,9,329
329,112,27,7,10,9,6,9,87,7,5,22,4,0,0,1,1,,6,,,0,16,329
339,125,21,4,10,20,2,5,95,3,7,28,3,1,0,0,0,,2,,,0,13,339
357,100,23,5,6,21,8,1,126,6,7,25,1,0,1,0,1,,4,,,2,20,357
457,111,75,7,13,16,17,8,144,6,7,22,3,2,0,0,2,,0,,,0,12,457
426,100,60,13,8,12,15,7,130,9,4,22,4,1,0,0,3,,0,,,0,16,427
533,286,62,4,14,4,7,2,93,3,14,14,2,0,0,0,1,,6,,,0,14,533
560,304,60,2,11,6,13,4,87,1,2,23,6,0,0,0,0,,3,,,0,19,560
546,307,61,2,12,8,15,4,69,2,2,17,3,0,0,0,3,,4,,,0,17,546
549,303,51,4,13,3,16,8,80,3,4,27,0,0,0,0,0,,3,,,2,13,549
525,281,70,6,9,7,7,3,71,5,1,20,3,0,0,0,0,,6,,,0,11,525
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
0,310,53,5,12,4,9,6,102,1,1,17,3,0,0,3,0,,3,,,0,24,570
534,301,60,3,11,6,17,1,81,6,0,22,0,0,2,0,0,,1,,,0,10,534
544,290,61,4,10,2,10,6,89,2,0,20,1,0,0,0,1,,8,,,0,17,544
517,286,52,3,21,5,11,2,77,4,0,18,5,0,0,0,2,,5,,,0,20,523
363,177,53,0,7,2,13,2,54,4,1,11,2,1,0,0,1,,6,,,0,16,363
366,178,63,0,8,4,13,1,55,3,0,13,2,0,0,0,1,,3,,,0,14,366
444,151,86,4,9,5,19,4,106,7,1,21,2,0,0,1,2,,5,,,0,9,444
Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,,Ilegible,,,Ilegible,Ilegible,Ilegible
354,121,50,5,7,5,16,6,100,1,2,12,1,1,2,Sin dato,1,,1,,,Sin dato,12,354
254,77,44,1,6,2,8,3,65,1,2,11,5,1,0,0,0,,0,,,0,14,254
437,196,90,3,7,6,16,3,53,4,1,15,0,0,0,0,3,,7,,,0,15,437
416,208,69,2,11,6,14,3,47,1,4,11,3,0,0,0,3,,2,,,1,14,416
328,84,51,7,9,8,14,3,87,5,3,15,2,0,1,0,3,,1,,,0,15,328
312,76,55,1,7,8,17,7,74,9,1,13,5,1,0,0,6,,0,,,2,13,312
278,60,62,2,6,5,5,7,3,86,8,0,20,2,0,0,0,,0,,,0,9,278
293,79,51,1,5,4,11,6,78,2,5,17,2,0,0,0,2,,1,,,0,18,293
460,124,93,2,13,9,16,2,112,7,5,25,8,1,1,0,2,,1,,,1,19,460
251,70,52,3,6,3,11,2,48,1,5,13,1,0,1,0,0,,1,,,0,18,251
264,83,57,4,8,3,8,0,59,5,2,11,1,0,1,0,0,,2,,,2,7,265
318,115,54,3,5,4,13,3,75,2,2,14,2,0,0,0,5,,0,,,2,8,318
340,117,57,5,6,4,16,4,76,3,1,19,0,1,2,1,3,,0,,,0,11,340
241,76,30,2,5,2,9,4,71,7,1,8,1,2,1,0,2,,2,,,0,9,241
258,82,28,2,7,6,5,5,69,7,2,15,3,2,0,0,3,,1,,,0,12,258
495,150,82,5,7,7,22,9,123,11,2,28,3,1,1,1,5,,3,,,0,13,495
421,103,91,4,15,10,10,7,108,14,2,21,0,0,0,0,0,,0,,,Sin dato,26,421
287,87,36,2,10,2,3,5,82,5,1,14,2,2,3,0,0,,2,,,1,14,287
310,92,52,5,6,6,16,7,66,9,0,12,3,1,0,0,1,,1,,,0,14,310
234,85,18,1,6,5,7,3,69,7,1,10,0,0,1,0,1,,2,,,0,15,234
265,90,35,0,11,5,7,4,63,4,3,16,4,1,0,0,2,,2,,,1,7,267
426,153,81,3,6,9,11,8,85,0,3,14,3,0,0,0,2,,6,,,0,23,426
425,182,51,4,14,9,12,7,72,5,0,0,0,0,3,0,3,,1,,,0,18,425
,,,,,,,,,,,,,,,,,,,,,,,
508,227,53,4,13,9,6,2,109,4,5,22,2,0,0,0,1,,2,,,0,29,508
484,200,75,1,11,1,15,7,95,2,3,21,3,1,3,0,3,,2,,,0,18,484
496,178,79,5,16,11,19,5,102,5,2,23,4,0,1,0,3,,2,,,0,15,496
494,204,68,4,12,6,12,5,100,3,1,23,6,6,0,0,3,,2,,,0,23,494
452,168,66,4,6,9,22,5,96,4,3,29,4,1,0,0,3,,4,,,1,18,452
434,132,55,5,14,8,13,8,106,10,5,17,2,0,2,0,3,,3,,,1,34,434
432,127,47,2,22,5,19,6,125,9,13,26,3,0,0,0,1,,1,,,0,17,437
476,155,67,8,16,9,18,5,105,6,1,30,3,0,1,0,2,,1,,,0,25,476
484,158,74,3,8,5,19,9,124,6,5,21,0,1,0,1,2,,2,,,0,25,484
378,132,48,4,6,9,13,6,84,6,2,21,3,1,0,0,1,,1,,,1,17,378
380,129,65,5,12,6,14,5,70,6,4,20,1,0,0,0,3,,4,,,0,18,380
391,155,55,8,7,6,9,5,78,4,5,21,3,1,0,0,2,,1,,,0,16,391
,,,,,,,,,,,,,,,,,,,,,,,
502,196,60,0,10,15,19,5,89,3,4,34,4,0,0,0,4,,3,,,0,29,502
326,160,49,0,1,2,13,6,55,2,3,10,4,0,1,0,0,,3,,,0,9,326
328,168,43,2,5,1,10,4,47,2,0,13,2,0,0,0,3,,2,,,0,15,328
Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,,Ilegible,,,Ilegible,Ilegible,Ilegible
422,192,68,1,10,7,5,4,67,3,4,20,3,1,0,0,3,,1,,,0,13,422
Sin dato,128,77,8,15,7,25,10,116,8,11,23,2,0,1,1,3,,3,,,0,14,474
464,137,82,4,11,11,18,6,105,11,8,26,0,0,0,0,2,,2,,,0,22,468
441,207,45,4,15,9,5,10,81,2,1,15,2,1,2,0,3,,4,,,0,21,441
449,198,61,1,18,3,4,3,91,3,1,23,5,0,0,0,2,,3,,,1,13,452
,,,,,,,,,,,,,,,,,,,,,,,
455,221,55,3,18,7,14,7,71,7,3,11,3,0,1,0,0,,1,,,1,20,455
492,142,83,7,9,9,20,10,123,4,3,28,2,2,0,0,0,,0,,,0,31,492
488,161,64,7,14,10,24,3,123,6,1,19,1,0,1,0,4,,4,,,0,22,488
338,143,40,1,13,8,8,4,61,3,2,16,3,0,0,0,1,,2,,,0,15,338
Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,Sin dato,,,Sin dato,Sin dato,Sin dato
518,235,68,7,11,5,13,7,91,4,3,23,2,0,0,0,3,,6,,,2,20,518
536,210,86,5,13,4,17,5,120,4,2,22,7,0,0,0,2,,4,,,0,15,536
391,142,57,5,6,8,Sin dato,4,51,1,3,25,3,1,0,0,1,,1,,,1,16,394
398,139,61,4,7,6,0,4,100,8,1,17,1,1,0,0,9,,4,,,0,23,398
403,101,64,4,10,12,14,9,108,10,3,20,7,1,1,1,0,,1,,,2,22,403
415,118,55,6,10,15,14,4,123,4,12,20,4,2,0,0,0,,0,,,0,16,415
476,172,58,5,18,10,18,4,108,5,3,27,4,1,2,0,2,,2,,,0,23,476
468,177,62,4,11,11,16,4,84,3,3,24,4,0,0,0,5,,2,,,0,25,468
464,193,60,8,19,14,16,3,84,4,4,21,2,0,0,0,0,,2,,,0,15,464
52,21,10,0,0,0,0,1,14,1,0,2,1,0,0,0,1,,0,,,0,2,52
17,4,1,0,0,0,1,0,6,0,Ilegible,0,1,1,0,0,0,,0,,,0,2,17
16,6,1,2,0,0,1,1,2,0,1,0,0,0,0,0,1,,0,,,0,3,19
,,,,,,,,,,,,,,,,,,,,,,,
381,107,53,6,9,18,11,10,88,10,7,15,6,0,0,0,0,,2,,,0,21,381
375,109,71,7,5,17,12,4,89,4,4,13,1,0,1,0,3,,1,,,0,14,375
362,107,69,4,9,9,9,7,66,7,12,16,6,1,0,0,0,,6,,,0,15,362
361,115,58,7,8,9,15,6,77,9,5,12,5,0,0,0,1,,4,,,0,18,361
313,114,36,3,7,8,14,6,67,4,4,20,1,2,1,0,2,,1,,,1,11,313
324,106,42,8,2,5,11,4,91,8,1,19,1,0,1,0,2,,0,,,0,12,324
416,164,63,3,6,5,12,5,98,4,1,23,1,0,0,0,0,,1,,,1,12,416
401,134,74,3,6,13,12,5,78,7,0,13,2,2,2,0,2,,5,,,0,20,401
501,178,55,5,10,13,18,2,117,8,6,34,2,2,0,0,1,,4,,,0,19,501
482,188,52,4,13,10,15,4,120,4,3,24,1,1,1,0,0,,2,,,0,11,482
482,148,72,5,13,11,11,8,121,5,2,22,10,3,1,1,0,,2,,,1,23,482
497,163,63,6,14,17,12,6,111,5,6,28,0,8,0,0,0,,3,,,4,27,497
515,191,52,4,8,6,7,9,154,6,3,28,2,0,0,0,2,,4,,,1,18,515
502,186,81,5,11,11,12,7,111,4,2,26,5,2,2,0,0,,4,,,Sin dato,13,503
545,185,68,7,13,16,12,8,129,8,1,46,4,1,0,0,1,,4,,,0,18,547
492,189,59,4,9,11,14,5,130,5,4,20,4,0,0,0,1,,0,,,0,12,492
419,116,66,4,13,9,14,10,103,8,1,16,5,0,1,0,1,,2,,,0,17,419
427,137,68,2,12,13,11,5,98,2,1,29,3,0,0,0,2,,1,,,1,19,431
277,73,49,2,8,6,15,7,66,5,4,16,2,0,0,0,1,,0,,,1,6,278
284,80,44,6,6,5,15,8,76,7,4,7,2,0,0,0,1,,0,,,1,17,284
259,64,43,7,4,3,17,2,75,4,2,11,1,1,0,0,1,,2,,,Sin dato,11,259
311,75,60,4,10,6,14,5,71,7,4,18,2,1,0,1,0,,0,,,1,21,311
Sin dato,80,66,3,9,6,10,8,80,6,9,24,3,0,1,5,0,,1,,,1,15,350
357,81,72,11,11,8,17,8,96,8,6,9,4,0,0,0,1,,2,,,0,14,357
383,81,72,5,9,7,19,5,103,5,9,20,0,0,0,0,4,,1,,,Sin dato,24,383
0,707,54,10,10,6,15,6,99,7,12,13,8,0,1,0,3,,0,,,0,24,370
348,97,71,6,10,7,Ilegible,5,77,8,7,15,3,3,0,0,1,,0,,,0,16,337
331,76,48,9,11,10,11,5,86,11,10,13,5,0,2,0,2,,2,,,0,17,331
347,88,52,3,8,3,10,7,107,4,2,16,5,3,1,0,2,,3,,,0,15,347
Sin dato,100,48,8,9,9,11,8,100,8,6,17,0,2,2,Ilegible,7,,2,,,0,13,363
544,266,50,5,15,11,10,9,100,2,2,32,0,1,0,1,2,,4,,,0,11,548
588,335,68,5,12,8,7,4,78,1,2,27,3,0,0,0,1,,6,,,0,13,588
555,278,70,0,10,11,10,8,99,2,2,20,1,0,1,0,3,,1,,,0,12,555
539,278,58,4,15,8,11,5,83,2,1,21,3,0,0,0,1,,2,,,0,26,539
539,302,40,3,13,8,16,6,85,3,1,28,3,0,2,0,2,,3,,,0,11,539
522,279,68,5,13,4,6,7,78,2,2,21,5,0,0,3,4,,4,,,2,23,546
533,269,39,4,18,3,10,11,94,4,2,21,2,2,1,0,1,,9,,,0,21,533
530,291,61,7,13,8,13,3,68,3,1,20,1,0,0,0,1,,2,,,0,15,530
520,278,51,3,8,8,13,3,86,1,0,25,3,0,1,0,1,,3,,,2,13,520
539,286,67,1,15,6,8,3,97,4,3,20,3,0,0,0,0,,1,,,0,10,539
505,240,71,4,17,9,8,3,81,4,4,21,1,1,1,0,2,,1,,,0,14,505
24,11,1,0,0,0,1,0,9,0,0,0,0,1,0,0,0,,0,,,0,1,24
28,15,2,1,0,0,2,1,5,0,0,0,0,0,0,0,0,,0,,,0,0,28
Sin dato,100,37,6,11,9,17,7,122,9,6,21,5,1,1,0,0,,2,,,1,15,391
386,92,58,8,11,15,13,10,118,7,2,14,1,0,1,0,1,,2,,,2,15,384
656,106,53,4,11,10,6,6,122,11,3,13,0,1,0,0,0,,2,,,1,15,Ilegible
389,96,61,2,9,5,11,9,118,9,3,Ilegible,4,0,3,0,1,,1,,,Sin dato,17,385
433,110,74,8,12,8,13,8,118,11,2,22,3,2,2,0,4,,3,,,0,24,433
447,120,46,3,19,8,8,11,141,14,2,24,7,2,0,0,1,,1,,,1,26,447
1,72,44,2,14,9,11,1,68,5,3,14,2,0,0,0,1,,1,,,0,13,273
281,59,38,9,10,5,7,3,96,11,2,13,3,0,0,0,1,,2,,,1,13,281
,,,,,,,,,,,,,,,,,,,,,,,
382,95,58,15,20,12,10,8,96,9,5,23,2,0,0,1,2,,0,,,0,20,382
Sin dato,66,62,17,10,6,15,2,115,12,5,24,5,2,0,0,1,,1,,,0,20,388
Sin dato,81,44,12,11,8,17,5,86,8,7,2,5,2,2,0,4,,2,,,0,12,349
378,91,46,11,6,10,13,13,90,13,5,19,5,0,0,0,0,,4,,,2,24,378
377,91,41,17,11,8,8,6,118,11,1,22,3,0,3,1,3,,2,,,0,15,377
398,91,37,13,17,6,18,7,129,5,11,19,4,1,0,1,1,,1,,,0,15,398
0,81,44,6,3,10,14,5,88,9,2,16,1,0,0,0,0,,4,,,Ilegible,22,319
291,94,42,8,6,6,12,4,71,6,2,11,3,0,1,0,3,,0,,,0,16,291
294,74,46,8,13,9,10,5,75,10,1,15,4,1,0,0,0,,1,,,0,13,294
262,65,42,7,11,3,7,2,72,9,7,11,4,1,3,0,0,,1,,,0,6,262
269,75,34,5,9,7,6,4,69,8,8,13,0,1,0,0,6,,0,,,0,15,269
Sin dato,64,48,6,8,6,10,2,86,7,9,12,5,1,0,2,2,,0,,,0,7,262
286,56,52,9,7,10,13,3,83,12,8,8,3,0,0,0,4,,1,,,0,7,286
316,93,50,7,8,4,8,6,87,7,5,8,0,0,5,2,0,,0,,,0,17,316
292,71,40,7,8,3,12,4,98,6,4,10,2,1,1,0,1,,2,,,0,17,292
0,100,58,3,12,11,10,9,145,11,5,24,7,4,1,1,0,,4,,,0,15,446
466,128,50,5,24,3,18,3,164,6,7,14,3,0,0,0,0,,0,,,0,18,Ilegible
330,80,48,6,9,11,6,2,108,10,2,15,3,3,0,0,0,,2,,,0,14,330
319,65,36,4,5,6,4,8,108,7,8,25,3,2,1,0,0,,0,,,0,17,319
330,72,48,11,2,6,14,4,110,10,1,23,1,1,2,0,0,,0,,,0,10,330
422,115,61,6,10,9,11,7,125,5,2,13,3,1,4,0,2,,2,,,0,21,422
