TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,MC,PANAL,PVEM,PES,M,PT,CQ,QI,MORENA_PT_PES,MORENA_PT,MORENA_PES,PT_PES,PRI_PVEM,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO
375,93,88,3,7,1,8,5,107,12,1,20,4,1,3,0,,,2,,,1,19,375
412,115,88,4,4,6,10,9,110,12,4,23,0,0,0,3,,,4,,,0,18,412
403,108,89,6,6,4,9,7,128,3,6,23,1,0,0,0,,,0,,,0,13,403
Sin dato,107,79,5,3,4,6,16,105,5,1,6,3,1,0,0,,,0,,,0,5,352
Sin dato,141,65,6,5,3,9,9,62,4,22,0,5,0,0,0,,,2,,,1,23,357
377,138,64,7,6,4,7,5,80,4,2,34,3,2,0,0,,,5,,,0,16,377
Sin dato,80,Ilegible,Ilegible,9,Ilegible,8,1,Ilegible,0,4,19,1,0,0,0,,,2,,,1,Ilegible,Ilegible
284,77,61,6,2,4,8,6,76,1,0,28,1,0,0,0,,,3,,,1,10,284
3,71,44,4,2,3,8,1,105,3,1,22,4,1,1,0,,,0,,,0,12,282
296,90,50,4,6,1,5,5,92,6,3,25,1,0,1,0,,,2,,,2,6,299
Sin dato,103,84,7,5,4,16,12,100,14,3,34,1,2,0,0,,,3,,,0,26,414
292,94,52,2,7,8,13,5,70,2,2,20,2,0,0,0,,,1,,,0,14,292
303,106,52,5,4,4,10,10,65,5,24,3,2,0,1,0,,,2,,,0,10,303
433,121,80,9,2,6,13,12,122,4,4,29,4,0,1,1,,,2,,,0,23,433
420,132,72,8,8,5,10,8,123,6,1,23,5,0,2,0,,,6,,,0,16,433
497,171,108,5,8,3,15,5,93,4,1,40,5,1,0,2,,,6,,,0,30,497
487,163,76,7,6,5,20,6,123,3,0,46,7,1,1,0,,,0,,,2,20,486
320,98,66,4,5,3,8,7,85,3,1,20,2,0,0,0,,,5,,,1,12,320
324,105,48,0,5,5,10,6,85,4,3,29,3,2,0,0,,,4,,,1,14,324
496,140,117,5,5,2,21,7,134,8,3,25,3,0,1,0,,,0,,,0,25,496
351,97,73,5,4,9,13,6,75,4,3,35,8,0,0,0,,,2,,,0,17,351
352,110,68,1,7,7,13,5,94,2,1,20,2,1,0,0,,,3,,,0,18,352
378,122,97,5,7,2,5,8,85,7,5,12,0,0,3,0,,,0,,,1,19,378
374,128,57,3,6,1,15,10,97,5,1,31,2,2,0,0,,,2,,,0,14,374
373,119,64,6,4,4,11,3,99,4,0,34,0,0,0,0,,,6,,,1,17,373
380,100,70,5,9,5,11,5,114,3,2,32,2,0,0,0,,,1,,,2,19,380
394,114,81,5,0,9,9,4,116,7,5,22,4,0,1,0,,,1,,,0,16,394
388,107,83,2,4,4,12,5,118,9,2,21,3,0,1,0,,,4,,,0,13,388
382,94,94,4,1,5,14,9,90,11,1,22,4,1,0,0,,,1,,,1,30,382
356,124,65,0,2,27,10,8,79,2,0,20,4,0,1,0,,,0,,,0,19,361
414,117,91,5,5,8,12,14,95,4,2,35,4,3,1,0,,,3,,,1,14,414
277,80,49,4,6,5,11,7,78,7,1,21,2,1,0,0,,,1,,,0,7,280
273,77,53,1,1,4,9,2,91,1,2,18,0,1,0,0,,,0,,,1,17,278
262,56,56,5,7,5,4,11,79,6,0,19,2,2,1,0,,,1,,,0,8,262
265,66,54,2,4,4,10,1,81,2,0,26,2,0,1,0,,,5,,,0,7,265
