ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,MC,NA,PVEM,ES,MORENA,PT,CQ,QI,MORENA_PT_ES,MORENA_PT,MORENA_ES,PT_ES,PRI_PVEM,C_COMUN_PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,C_COMUN_PAN_PRD,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,519,B,1,0,B,78,76,9,9,3,8,3,59,5,6,0,4,0,0,0,4,,,,,0,,,,,,,5,269,0,17,286,620,Grupo de recuento,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,519,C,1,0,C01,90,87,8,7,2,12,9,60,10,3,3,0,2,1,0,2,,,,,4,,,,,,,7,307,0,13,320,620,Grupo de recuento,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,519,C,2,0,C02,86,57,6,11,3,6,7,55,8,2,2,9,4,0,0,0,,,,,1,,,,,,,8,265,0,22,287,620,Grupo de recuento,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,519,C,3,0,C03,89,59,10,11,2,8,6,73,11,3,1,3,3,3,0,2,,,,,7,,,,,,,3,294,0,13,307,619,Grupo de recuento,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,520,B,1,0,B,136,57,4,6,7,9,15,72,11,3,3,3,0,0,0,0,,,,,2,,,,,,,35,363,0,11,374,725,Grupo de recuento,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,520,C,1,0,C01,186,52,7,11,5,9,9,74,10,1,6,2,1,0,0,0,,,,,0,,,,,,,23,396,1,15,412,724,Grupo de recuento,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,521,B,1,0,B,87,42,3,10,3,6,4,54,6,1,2,3,0,0,0,0,,,,,2,,,,,,,0,223,3,18,244,433,Acta casilla,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,521,C,1,0,C01,107,41,3,6,1,5,3,24,8,2,1,2,1,0,0,1,,,,,2,,,,,,,2,209,0,8,217,433,Acta casilla,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,521,E,1,0,E01,62,22,0,1,0,6,0,6,1,2,1,0,0,0,0,3,,,,,2,,,,,,,1,107,0,8,115,213,Grupo de recuento,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,522,B,1,0,B,104,74,7,7,10,11,7,83,16,4,11,5,3,2,0,2,,,,,1,,,,,,,14,361,0,22,383,709,Acta casilla,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,522,C,1,0,C01,97,64,11,2,6,16,6,103,7,3,9,10,2,0,0,0,,,,,1,,,,,,,23,360,2,15,377,709,Acta casilla,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,522,C,2,0,C02,106,57,9,1,4,8,9,115,0,2,4,4,3,1,1,1,,,,,0,,,,,,,17,342,0,19,361,709,Acta casilla,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,522,C,3,0,C03,85,67,7,8,1,10,8,106,9,0,4,0,2,1,0,2,,,,,3,,,,,,,8,321,0,10,331,709,Grupo de recuento,,,
